zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
工团大会预算申报宣讲草稿（第八版）,工團大會預算申報宣講草稿（第八版）,UWST Assembly Budget Proposal Briefing Draft (Version 8),工業団大会予算申請説明会の下書き（第8版）,공단 대회 예산 신청 설명회 초안(8차 수정본),Projet de briefing pour la proposition de budget à l'Assemblée du STUT (Version 8),"GBT – Budgetvorschlag für die Montage, Zusammenfassung (Entwurf, Ver. 8)",Bozza di una proposta di bilancio per l'assemblea dell'USLT (versione 8),Borrador del Informe de la Propuesta del presupuesto de la asamblea de los S.T.U.T. (Versión 8),Rascunho do Informativo da Proposta Orçamentária da Assembleia do STUT (Versão 8),Черновик проекта бюджета с брифинга СОРТ (версия 8),ร่าง​การบรรยาย​สรุป​ข้อเสนอ​เรื่อง​งบประมาณ​การประชุม​ของ​ UWST (ฉบับ​ที่​ 8),Bản Dự Thảo Tóm Tắt Đề Xuất Ngân Sách Công Đoàn (Phiên bản 8),Draf Briefing Usulan Anggaran Majelis UWST (Ver 8)
工人们的讨论（一）,工人們的討論（一）,UWST Crew Discussions (1),作業員の会話記録（1）,작업자들의 토론(1),Discussions du personnel du STUT (1),Gespräche der GBT-Crew (1),Discussioni tra i membri dell'USLT (1),Discusiones de la tripulación de los S.T.U.T. (1),Discussões da Equipe do STUT (1),Совещание персонала СОРТ (1),การ​พูดคุย​กัน​ของ​ลูกเรือ​ UWST (1),Thảo Luận Của Thành Viên Công Đoàn (1),Diskusi Kru UWST (1)
工人们的讨论（二）,工人們的討論（二）,UWST Crew Discussions (2),作業員の会話記録（2）,작업자들의 토론(2),Discussions du personnel du STUT (2),Gespräche der GBT-Crew (2),Discussioni tra i membri dell'USLT (2),Discusiones de la tripulación de los S.T.U.T. (2),Discussões da Equipe do STUT (2),Совещание персонала СОРТ (2),การ​พูดคุย​กัน​ของ​ลูกเรือ​ UWST (2),Thảo Luận Của Thành Viên Công Đoàn (2),Diskusi Kru UWST (2)
工人们的讨论（三）,工人們的討論（三）,UWST Crew Discussions (3),作業員の会話記録（3）,작업자들의 토론(3),Discussions du personnel du STUT (3),Gespräche der GBT-Crew (3),Discussioni tra i membri dell'USLT (3),Discusiones de la tripulación de los S.T.U.T. (3),Discussões da Equipe do STUT (3),Совещание персонала СОРТ (3),การ​พูดคุย​กัน​ของ​ลูกเรือ​ UWST (3),Thảo Luận Của Thành Viên Công Đoàn (3),Diskusi Kru UWST (3)
《四号谷地工作指南:阿伯莉采石场篇》,《四號谷地工作指南：阿伯莉採石場篇》,V4 Worker's Guide: Aburrey Quarry,『四号谷地作業ガイド：アブリー採石場編』,<4번 협곡 업무 가이드: 아부레이 채석장 편>,Guide du travailleur de la V4 : la carrière d'Aburrey,Arbeiterhandbuch aus T4: Aburrey-Steinbruch,Guida del lavoratore di V4: Cava di Aburrey,Guía para trabajadores del V4: Cantera Aburrey,Guia do Trabalhador de V4: Pedreira de Aburrey,Справочник рабочего Долины IV: карьер Эберрей,คู่มือ​สำหรับ​คนงาน​ V4: เหมือง​หิน​อ​เบอร์​เรย์,Hướng Dẫn Của Công Nhân V4: Mỏ Đá Aburrey,Panduan Pekerja V4: Tambang Batu Aburrey
骁勇,驍勇,Valiant,勇猛,용사,Vaillance,Tapferkeit,Audace,Valiente,Valente,Доблесть,ผู้​กล้า,Dũng Khí,Valiant
锚定谷地奖章,錨定谷地獎章,Valley Anchorer,谷地定着勲章,협곡 정착자 훈장,Ancre de la Vallée,Tal-Verankerung,Collante della Valle,Anclador del Valle,Âncora do Vale,Связующее звено Долины,ผู้​ยึดหลัก​หุบเขา,Kẻ Neo Giữ Thung Lũng,Penambat Lembah
谷地协定凭证,谷地協定憑證,Valley Convention Certificate,谷地協定取引証,협곡 협정 허가증,Certificat de convention de Vallée-IV,Tal-IV-Abkommenszertifikat,Certificato della convenzione della Valle,Certificado de convención del valle,Certificado da Convenção do Vale,Сертификат соглашения Долины,ใบรับรอง​ข้อตกลง​แห่ง​หุบเขา,Chứng Nhận Công Ước Thung Lũng,Sertifikat Konvensi Lembah
谷地储藏家奖章,谷地儲藏家獎章,Valley Crate Master,谷地資源コレクター勲章,협곡 수집가 훈장,Virtuose des caisses de la Vallée,Tal-Kisten-Koryphäe,Rompicasse della Valle,Maestro de las cajas del Valle,Mestre dos Caixotes do Vale,Спец по ящикам Долины,เจ้า​แห่ง​ลัง​หุบเขา,Chuyên Gia Thùng Hàng Thung Lũng,Pembuka Kerat Lembah
谷地刻写券,谷地刻寫券,Valley Engraving Permit,谷地刻印券,협곡 각인권,Permis de gravure de la Vallée,Tal-Gravur-Genehmigung,Permesso di incisione della Valle,Permiso de grabado del Valle,Permissão para Gravar do Vale,Разрешение на чеканку в Долине,ใบอนุญาต​แกะสลัก​หุบเขา,Giấy Phép Khắc Thung Lũng,Izin Ukir Lembah
谷地工业先驱奖章,谷地工業先驅獎章,Valley Factory Pioneer,谷地工業開拓勲章,협곡 공업 선구자 훈장,Pionnier de l'industrie de la Vallée,Tal-Fabrikpionier,Pionierismo industriale della Valle,Especialista de fábrica del Valle,Pioneiro da Fábrica do Vale,Индустриализация Долины,ผู้บุกเบิก​โรงงาน​หุบเขา,Nhà Máy Tiên Phong Thung Lũng,Perintis Pabrik Lembah
谷地要塞,谷地要塞,Valley Fort,谷地要塞,협곡 요새,Forteresse de la Vallée,Talfort,Forte della Valle,Fuerte del valle,Forte do Vale,Форт Долины,ป้อม​หุบเขา,Pháo Đài Thung Lũng,Benteng Lembah
谷地灰面包·升级,谷地灰麵包·升級,Valley Graybread Upgrade,谷地の灰パン（強化）,협곡 호밀빵 · 업그레이드,Amélioration de pain brun de la vallée,Verbesserung: Tal-Graubrot,Potenziamento: pane bigio della Valle,Mejora de pan gris del valle,Upgrade de Pão Misto do Vale,Улучшение долинного серого хлеба,อัป​เกรด​ขนมปัง​เทา​แห่ง​หุบเขา,Nâng Cấp Bánh Mì Hắc Mạch Thung Lũng,Upgrade untuk Graybread Lembah
谷地水培肉货组,谷地水培肉貨組,Valley Hydroculture Fillets [pkg],谷地水培養肉セット,협곡 수경 배양육 상품군,Filets hydroponiques de la Vallée [colis],Hydrokultur-Filet aus dem Tal [Paket],Filetti da idrocoltura della Valle (pacco),Filetes de hidrocultivo del Valle [paq.],Filés de Hidrocultura do Vale [pct],Долинные гидропонные стейки [упак.],เนื้อ​แล่​ไฮ​โดร​คัล​เจอร์​หุบเขา​ [แพ็ก​],Thịt Thủy Canh Thung Lũng [bộ],Filet Hidrokultur Lembah [pkt]
谷地调查者奖章,谷地調查者獎章,Valley Investigator,谷地調査勲章,협곡 조사원 훈장,Enquêtes dans la Vallée,Tal-Untersuchungsbeauftragter,Detective della Valle,Investigación del Valle,Investigador do Vale,Расследование в Долине,นักสืบ​สวน​หุบเขา,Thám Tử Thung Lũng,Penyelidik Lembah
四号谷地,四號谷地,Valley IV,四号谷地,4번 협곡,Vallée-IV,Tal IV,Valle IV,Valle IV,Vale IV,Долина IV,หุบเขา​ IV,Thung Lũng IV,Lembah IV
谷地多痕刻写箱,谷地多痕刻寫箱,Valley Multi-Line Engraving Kit,谷地・多軌道刻印ボックス,협곡 다중 흔적 각인 상자,Kit de gravure pluriligne de la Vallée,Mehrzeiliges Gravur-Kit des Tals,Kit d'incisione multi-linea della Valle,Kit de grabado multilínea del Valle,Kit de Gravação Multilinhas do Vale,Мультилинейный комплект чеканки Долины,ชุด​อุปกรณ์​แกะสลัก​หลาย​เส้น​ของ​หุบเขา,Bộ Dụng Cụ Khắc Nhiều Dòng Thung Lũng,Kit Ukiran Multibaris Lembah
谷地据点开拓奖章,谷地據點開拓獎章,Valley Outpost Builder,谷地拠点開拓勲章,협곡 거점 개척자 훈장,Construction d'avant-postes dans la Vallée,Tal-Außenpostenbauer,Avamposti della Valle,Constructor del puesto de avanzada del Valle,Construtor de Posto Avançado do Vale,Строительство аванпостов Долины,ผู้สร้าง​ด่าน​หน้า​หุบเขา,Công Trình Tiền Đồn Thung Lũng,Pembangun Pos Depan Lembah
谷地通道,谷地通道,Valley Pass,谷地通路,협곡길,Col de la Vallée,Talpass,Passo della Valle,Senda del valle,Garganta do Vale,Перевал,ทางผ่าน​หุบเขา,Đèo Thung Lũng,Terusan Lembah
谷地馅饼,谷地餡餅,Valley Pie,谷地パイ,협곡 파이,Tourte de la Vallée,Talpastete,Tortino della Valle,Pay del Valle,Torta do Vale,Пирог Долины,พาย​หุบเขา,Bánh Thung Lũng,Pai Lembah
谷地馅饼·升级,谷地餡餅·升級,Valley Pie Upgrade,谷地パイ（強化）,협곡 파이 · 업그레이드,Amélioration de tourte de la Vallée,Verbesserung: Talpastete,Potenziamento: tortino della Valle,Mejora de Pay del Valle,Upgrade da Torta do Vale,Улучшение пирога Долины,อัป​เกรด​พาย​หุบเขา,Nâng Cấp Bánh Thung Lũng,Upgrade untuk Pai Lembah
谷地地区建设值,谷地地區建設值,Valley Regional Development Metric,谷地建設値,협곡 지역 건설치,Indicateur de développement régional de la Vallée,Tal-Regionsentwicklungsmetrik,Metrica dello sviluppo regionale della Valle,Métrica de desarrollo regional del Valle,Métrica de Desenvolvimento Regional do Vale,Показатель развития региона: Долина,เมทริก​การพัฒนา​ระดับ​ภูมิภาค​หุบเขา,Chỉ Số Phát Triển Khu Vực Thung Lũng,Metrik Perkembangan Regional Lembah
谷地调度券,谷地調度券,Valley Stock Bill,谷地取引券,협곡 관리권,Billet de réserves de la Vallée,Tal-Aktiennote,Buono acquisto della Valle,Vale de crédito del Valle,Letra de Câmbio do Vale,Облигация Долины,ธนบัตร​คลัง​หุบเขา,Phiếu Hàng Thung Lũng,Surat Saham Lembah
谷地调度专家奖章,谷地調度專家獎章,Valley Stock Redistributor,谷地取引専門家勲章,협곡 관리 전문가 훈장,Redistribution de la Vallée,Tal-Vorratneuverteilung,Ridistribuzione scorte della Valle,Redistribuidor de existencias del Valle,Redistribuidor de Estoque do Vale,Перераспределитель резервов Долины,ผู้​กระจาย​สินค้า​ใน​สต็อก​หุบเขา,Chuyên Gia Điều Phối Thung Lũng,Redistributor Stok Lembah
谷地中转站,谷地中轉站,Valley Transfer,谷地中継所,협곡 환승역,Transfert de la Vallée,Tal-Zwischenstation,Stazione di scambio della Valle,Transferencia del valle,Transferência do Vale,Трансфер Долины,จุด​ส่งต่อ​หุบเขา,Trạm Trung Chuyển Thung Lũng,Transfer Lembah
珍贵材料,珍貴材料,Valuable,貴重素材,희귀 재료,Objet de valeur,Wertgegenstand,Risorsa chiave,material valioso,Item de Valor,Редкие материалы,สิ่งของ​มีค่า,Giá Trị,Barang Berharga
贵重芯片,貴重晶片,Valuable Chip,貴重なチップ,귀중한 칩,Puce de valeur,Wertvoller Chip,Chip pregiato,Chip valioso,Chip Valioso,Ценный чип,ชิป​มีค่า,Chip Giá Trị,Chip Berharga
贵重品库,貴重品庫,Valuables Stash,貴重品倉庫,귀중품 창고,Coffre d'objets de valeur,Lager für Wertgegenstände,Scorta delle risorse chiave,Reserva de obj. val.,Reserva de Itens de Valor,Запасник ценностей,ที่เก็บ​ของมีค่า,Kho Đồ Giá Trị,Simpanan Barang Berharga
老成天师的嘱托,老成天師的囑託,Venerable Tianshi's Reminder,経験豊富な天師の申し送り,성숙한 천사의 당부,Rappel du vénérable Tianshi,Erinnerung eines ehrwürdigen Tianshi,Promemoria del Venerabile Tianshi,Recordatorio del venerable Tianshi,Lembrete do Venerável Tianshi,Напоминание почтенного Тяньши,คำเตือน​จาก​ท่าน​เทียน​ซือ,Lời Nhắc Nhở của Thiên Sư Tôn Kính,Pengingat dari Tianshi Terhormat
验收回复,驗收回覆,Verification Response,データ確認の返信,데이터 확인 결과 송부,Réponse à la vérification,Verifizierungsantwort,Verifica della risposta,Respuesta de verificación,Resposta da Verificação,Ответ по проверке,การตอบรับ​การ​ยืนยัน,Phản hồi Xác thực,Verifikasi Respons
潜心,潛心,Very Deep Focus,深淵を覗く,전념,Concentration inébranlable,Unglaublich konzentriert,Massima concentrazione,Enfoque profundo,Foco Muito Profundo,Глубокая сосредоточенность,สมาธิ​สุดขั้ว,Tập Trung Rất Sâu,Fokus Sangat Mendalam
极度陈旧的信笺,極度陳舊的信箋,Very Old Letter,かなり古びた手紙,매우 오래된 편지,Très vieille lettre,Sehr alter Brief,Lettera vecchissima,Carta muy antigua,Carta Muito Antiga,Очень старое письмо,จดหมาย​ที่​เก่า​สุ​ดๆ,Lá Thư Cũ Kỹ,Surat Sangat Tua
空天视线,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies,View from the Void Skies
警惕者的询问,警惕者的詢問,Vigilant One's Inquiry,警戒する人の質問,경계하고 있는 사람의 질문,Demande d'un vigilant,Anfrage einer aufmerksamen Patrouille,Indagine della sentinella,Investigación del Vigilante,Pergunta do Vigilante Um,Запрос бдительного,คำถาม​จาก​ผู้​เฝ้า​ระวัง,Cuộc Điều Tra Của Người Cảnh Giác,Pertanyaan dari si Waspada
警戒者矿镐货组,警戒者礦鎬貨組,Vigilant Pickaxes [pkg],警戒者のツルハシセット,경계자의 곡괭이 상품군,Pioches vigilantes [colis],Bürgerwehr-Spitzhacken [Paket],Picconi sentinella (pacco),Picos Vigilantes [paq.],Picaretas Vigilante [pct],Сенсорные кирки [упак.],อีเต้อ​ระวัง​ภัย​ [แพ็ก​],Cuốc Báo Động [bộ],Beliung Waspada [pkt]
唱片解锁,唱片解鎖,Vinyl: Unlocking,レコード解放,음반 잠금 해제,Vinyle : déblocage,Schallplatte: Freischalten,Vinile: Sbocco,Vinilo: desbloqueo,Vinil: Desbloqueio,Пластинка: открытие,ไว​นิล​: กำลัง​ปลดล็อก,Đĩa Than: Mở Khóa,Piringan Hitam: Membuka
晶化硬币,晶化硬幣,Vitrified Coin,結晶コイン,결정화 화폐,Pièce vitrifiée,Kristallisierte Münze,Moneta vetrificata,Moneda vitrificada,Moeda Vitrificada,Кристаллизованная монета,เหรียญ​ผลึก​แก้ว,Xu Thủy Tinh Hóa,Koin Vitrifikasi
至晶多齿叶,至晶多齒葉,Vitrodendra,至晶鋭葉,비트로덴드라,Vitrodendron,Vitrodendra,Vitrodendri,Vitrodendro,Vitrodendra,Витродендра,วิ​โตร​เดน​ดรา,Tinh Cốt,Vitrodendra
